Size,RAM(KB),Disk(KB)
2000000,321600,6251180.105
2000000,321868,6251180.105
2000000,322060,6251180.105
2000000,322284,6251180.105
2000000,322532,6251180.105
2000000,322856,6251180.105
2000000,343604,6251180.105
2000000,323836,6251180.105
2000000,323984,6251180.105
2000000,324172,6251180.105
2000000,324320,6251180.105
2000000,324508,6251180.105
2000000,324640,6251180.105
2000000,324708,6251180.105
2000000,324824,6251180.105
2000000,324900,6251180.105
2000000,324972,6251180.105
2000000,325008,6251180.105
2000000,325072,6251180.105
2000000,325172,6251180.105
2000000,325220,6251180.105
2000000,325264,6251180.105
4000000,305472,6453844.105
4000000,305592,6453844.105
4000000,305304,6453844.105
4000000,325816,6453844.105
4000000,305680,6453844.105
4000000,305752,6453844.105
4000000,305816,6453844.105
4000000,305864,6453844.105
4000000,305924,6453844.105
4000000,305992,6453844.105
4000000,306036,6453844.105
4000000,306072,6453844.105
4000000,306096,6453844.105
4000000,306144,6453844.105
4000000,306144,6453844.105
4000000,306144,6453844.105
4000000,306144,6453844.105
6000000,441712,6662268.105
6000000,442116,6662268.105
6000000,291476,6662284.105
6000000,291476,6662284.105
6000000,291476,6662284.105
6000000,291476,6662284.105
6000000,291476,6662284.105
6000000,298580,6662284.105
6000000,298580,6662284.105
6000000,298580,6662284.105
6000000,298580,6662284.105
6000000,298580,6662284.105
6000000,298580,6662284.105
6000000,298776,6662284.105
6000000,298776,6662284.105
6000000,298780,6662284.105
6000000,298780,6662284.105
6000000,298788,6662284.105
6000000,298788,6662284.105
6000000,298788,6662284.105
6000000,298788,6662284.105
8000000,298428,6711508.105
8000000,298740,6711508.105
8000000,298936,6711508.105
8000000,298864,6711508.105
8000000,298864,6711508.105
8000000,298864,6711508.105
8000000,298864,6711508.105
8000000,298864,6711508.105
8000000,298864,6711508.105
8000000,298864,6711508.105
8000000,298864,6711508.105
8000000,298864,6711508.105
8000000,298864,6711508.105
8000000,298864,6711508.105
8000000,298932,6711508.105
8000000,298932,6711508.105
8000000,298944,6711508.105
10000000,368960,6915780.105
10000000,369032,6915780.105
