Size,Time(s),Average Time(s)
2000000,0.357976,0.000357976
4000000,0.40032,0.00040032
6000000,0.524115,0.000524115
8000000,0.55907,0.00055907
10000000,0.450749,0.000450749
12000000,0.434432,0.000434432
14000000,0.453828,0.000453828
16000000,0.44455,0.00044455
18000000,0.410742,0.000410742
20000000,0.539495,0.000539495
22000000,0.522137,0.000522137
24000000,0.522089,0.000522089
26000000,0.571453,0.000571453
28000000,0.548589,0.000548589
30000000,0.450091,0.000450091
32000000,0.53169,0.00053169
34000000,0.439375,0.000439375
36000000,0.385609,0.000385609
38000000,0.520633,0.000520633
40000000,0.531835,0.000531835
42000000,0.61838,0.00061838
44000000,0.520338,0.000520338
46000000,0.616787,0.000616787
48000000,0.572643,0.000572643
50000000,0.576941,0.000576941
52000000,0.643453,0.000643453
54000000,0.861099,0.000861099
56000000,0.602972,0.000602972
58000000,0.913852,0.000913852
60000000,0.723152,0.000723152
62000000,1.008837,0.001008837
64000000,1.053983,0.001053983
66000000,0.907794,0.000907794
68000000,1.010615,0.001010615
70000000,1.108467,0.001108467
72000000,1.057381,0.001057381
74000000,0.723488,0.000723488
76000000,1.001388,0.001001388
78000000,0.609828,0.000609828
80000000,0.724328,0.000724328
82000000,0.692099,0.000692099
84000000,0.81957,0.00081957
86000000,0.922352,0.000922352
88000000,0.941618,0.000941618
90000000,0.892043,0.000892043
92000000,1.363687,0.001363687
94000000,0.793543,0.000793543
96000000,1.22307,0.00122307
98000000,0.944453,0.000944453
100000000,0.9835,0.0009835
