Size,Time(s),Average Time(s)
2000000,0.366601,0.000366601
4000000,0.806648,0.000806648
6000000,1.028589,0.001028589
8000000,1.131111,0.001131111
10000000,1.253715,0.001253715
12000000,1.378642,0.001378642
14000000,1.614381,0.001614381
16000000,1.878736,0.001878736
18000000,2.560607,0.002560607
20000000,2.37042,0.00237042
22000000,2.517673,0.002517673
24000000,3.041219,0.003041219
26000000,2.585604,0.002585604
28000000,3.542394,0.003542394
30000000,2.916311,0.002916311
32000000,3.07064,0.00307064
34000000,3.228866,0.003228866
36000000,3.432722,0.003432722
38000000,3.550431,0.003550431
40000000,3.676645,0.003676645
42000000,3.851672,0.003851672
44000000,4.078252,0.004078252
46000000,4.323044,0.004323044
48000000,4.46648,0.00446648
50000000,4.548782,0.004548782
52000000,4.747195,0.004747195
54000000,6.572869,0.006572869
56000000,5.095854,0.005095854
58000000,5.144138,0.005144138
60000000,5.441592,0.005441592
62000000,5.419185,0.005419185
64000000,5.608214,0.005608214
66000000,5.69128,0.00569128
68000000,5.88786,0.00588786
70000000,6.038021,0.006038021
72000000,6.211086,0.006211086
74000000,6.468011,0.006468011
76000000,6.516973,0.006516973
78000000,6.676053,0.006676053
80000000,7.067229,0.007067229
82000000,7.515692,0.007515692
84000000,7.263914,0.007263914
86000000,7.438933,0.007438933
88000000,7.639157,0.007639157
90000000,8.244738,0.008244738
92000000,8.250225,0.008250225
94000000,8.306702,0.008306702
96000000,8.377001,0.008377001
98000000,8.472807,0.008472807
100000000,8.833409,0.008833409
