Size,Time(s),Average Time(s)
2000000,0.355592,0.000355592
4000000,0.423337,0.000423337
6000000,0.465693,0.000465693
8000000,0.45295,0.00045295
10000000,0.460959,0.000460959
12000000,0.473437,0.000473437
14000000,0.466383,0.000466383
16000000,0.467281,0.000467281
18000000,0.470659,0.000470659
20000000,0.600432,0.000600432
22000000,0.52513,0.00052513
24000000,0.564388,0.000564388
26000000,0.519017,0.000519017
28000000,0.525104,0.000525104
30000000,0.445816,0.000445816
32000000,0.564285,0.000564285
34000000,0.40381,0.00040381
36000000,0.36943,0.00036943
38000000,0.538984,0.000538984
40000000,0.586879,0.000586879
42000000,0.610678,0.000610678
44000000,0.609988,0.000609988
46000000,0.658783,0.000658783
48000000,0.573163,0.000573163
50000000,0.646649,0.000646649
52000000,0.581758,0.000581758
54000000,0.84301,0.00084301
56000000,0.663867,0.000663867
58000000,0.901188,0.000901188
60000000,0.710265,0.000710265
